# Pasos	Frecuencia_relativa
-1.82153 0.161196
-1.81532 0.322393
-1.80912 0
-1.80292 0
-1.79671 0.483589
-1.79051 0.161196
-1.78431 0.161196
-1.7781 0
-1.7719 0
-1.7657 0.161196
-1.75949 0
-1.75329 0.322393
-1.74708 0
-1.74088 0
-1.73468 0
-1.72847 0.161196
-1.72227 0
-1.71607 0.161196
-1.70986 0.161196
-1.70366 0
-1.69746 0
-1.69125 0
-1.68505 0.161196
-1.67884 0.322393
-1.67264 0.322393
-1.66644 0
-1.66023 0
-1.65403 0
-1.64783 0.161196
-1.64162 0
-1.63542 0.161196
-1.62922 0
-1.62301 0
-1.61681 0.322393
-1.6106 0
-1.6044 0
-1.5982 0
-1.59199 0.161196
-1.58579 0.161196
-1.57959 0
-1.57338 0
-1.56718 0.161196
-1.56098 0
-1.55477 0.161196
-1.54857 0.161196
-1.54237 0.161196
-1.53616 0
-1.52996 0
-1.52375 0.161196
-1.51755 0.161196
-1.51135 0.161196
-1.50514 0
-1.49894 0
-1.49274 0
-1.48653 0.483589
-1.48033 0.322393
-1.47413 0
-1.46792 0
-1.46172 0
-1.45551 0
-1.44931 0
-1.44311 0.161196
-1.4369 0.161196
-1.4307 0.161196
-1.4245 0
-1.41829 0.161196
-1.41209 0.161196
-1.40589 0.322393
-1.39968 0.161196
-1.39348 0.322393
-1.38728 0
-1.38107 0.161196
-1.37487 0
-1.36866 0.322393
-1.36246 0
-1.35626 0.805982
-1.35005 0.322393
-1.34385 0.161196
-1.33765 0.322393
-1.33144 0
-1.32524 0.644786
-1.31904 0.161196
-1.31283 0.322393
-1.30663 0
-1.30042 0.161196
-1.29422 0.161196
-1.28802 0
-1.28181 0
-1.27561 0.161196
-1.26941 0.161196
-1.2632 0
-1.257 0
-1.2508 0.322393
-1.24459 0.161196
-1.23839 0.161196
-1.23218 0.483589
-1.22598 0.161196
-1.21978 0.161196
-1.21357 0.644786
-1.20737 0.161196
-1.20117 0.161196
-1.19496 0
-1.18876 0
-1.18256 0
-1.17635 0
-1.17015 0.483589
-1.16395 0.161196
-1.15774 0
-1.15154 0.161196
-1.14533 0.322393
-1.13913 0.161196
-1.13293 0.322393
-1.12672 0.161196
-1.12052 0.161196
-1.11432 0
-1.10811 0.161196
-1.10191 0
-1.09571 0.322393
-1.0895 0.322393
-1.0833 0.322393
-1.07709 0.483589
-1.07089 0.161196
-1.06469 0.161196
-1.05848 0.322393
-1.05228 0.161196
-1.04608 0.161196
-1.03987 0.322393
-1.03367 0
-1.02747 0.161196
-1.02126 0.483589
-1.01506 0
-1.00885 0.483589
-1.00265 0
-0.996448 0.967179
-0.990244 0.483589
-0.98404 0.161196
-0.977837 0.161196
-0.971633 0.161196
-0.96543 0.483589
-0.959226 0
-0.953022 0.644786
-0.946819 0.161196
-0.940615 0.322393
-0.934412 0.161196
-0.928208 0.161196
-0.922004 0.322393
-0.915801 0.483589
-0.909597 0
-0.903394 0.644786
-0.89719 0.161196
-0.890986 0.644786
-0.884783 0.161196
-0.878579 0.161196
-0.872375 0.161196
-0.866172 0.483589
-0.859968 0.322393
-0.853765 0.161196
-0.847561 0.322393
-0.841357 0
-0.835154 0.322393
-0.82895 0.161196
-0.822747 0.644786
-0.816543 0.322393
-0.810339 0.322393
-0.804136 0.161196
-0.797932 0.322393
-0.791729 0.161196
-0.785525 0
-0.779321 0.322393
-0.773118 0.161196
-0.766914 0.322393
-0.760711 0.161196
-0.754507 0.161196
-0.748303 0.483589
-0.7421 0.483589
-0.735896 0.322393
-0.729692 0.644786
-0.723489 0.322393
-0.717285 0.322393
-0.711082 0.322393
-0.704878 0.322393
-0.698674 0.322393
-0.692471 0.483589
-0.686267 0.644786
-0.680064 0.483589
-0.67386 0.322393
-0.667656 0.322393
-0.661453 0.322393
-0.655249 0
-0.649046 0
-0.642842 0.322393
-0.636638 0
-0.630435 0
-0.624231 0.483589
-0.618028 0.483589
-0.611824 0.161196
-0.60562 0.322393
-0.599417 0.161196
-0.593213 0.644786
-0.587009 0
-0.580806 0.161196
-0.574602 0.483589
-0.568399 0.161196
-0.562195 0.322393
-0.555991 0.644786
-0.549788 0.161196
-0.543584 0.644786
-0.537381 0.322393
-0.531177 0.322393
-0.524973 0.483589
-0.51877 0.483589
-0.512566 0.483589
-0.506363 0.483589
-0.500159 0
-0.493955 0.322393
-0.487752 0.322393
-0.481548 0.967179
-0.475345 0.161196
-0.469141 0.161196
-0.462937 0.483589
-0.456734 0.483589
-0.45053 0
-0.444326 0.322393
-0.438123 0.483589
-0.431919 0.483589
-0.425716 0.644786
-0.419512 0.161196
-0.413308 0.161196
-0.407105 0.161196
-0.400901 0
-0.394698 0.322393
-0.388494 0.322393
-0.38229 0.161196
-0.376087 0.483589
-0.369883 0.483589
-0.36368 0
-0.357476 0.644786
-0.351272 0.161196
-0.345069 0.483589
-0.338865 0.483589
-0.332662 0.322393
-0.326458 0.322393
-0.320254 0.483589
-0.314051 0.322393
-0.307847 0.322393
-0.301643 0.161196
-0.29544 0.322393
-0.289236 0.161196
-0.283033 0.322393
-0.276829 0.161196
-0.270625 0.161196
-0.264422 0.644786
-0.258218 0.161196
-0.252015 1.28957
-0.245811 0
-0.239607 0.161196
-0.233404 0.644786
-0.2272 0.322393
-0.220997 0
-0.214793 0.161196
-0.208589 0.644786
-0.202386 0.322393
-0.196182 0
-0.189978 0.644786
-0.183775 0.322393
-0.177571 0.161196
-0.171368 0.161196
-0.165164 0.644786
-0.15896 0.483589
-0.152757 0.805982
-0.146553 0.483589
-0.14035 0.644786
-0.134146 0.161196
-0.127942 0.161196
-0.121739 0.483589
-0.115535 0.483589
-0.109332 0.161196
-0.103128 0.322393
-0.0969244 0
-0.0907208 0.483589
-0.0845171 0.644786
-0.0783135 0.483589
-0.0721099 0.483589
-0.0659063 0.322393
-0.0597027 0.322393
-0.0534991 0.161196
-0.0472955 0.161196
-0.0410919 0.483589
-0.0348883 0
-0.0286847 0
-0.0224811 0.644786
-0.0162774 0.161196
-0.0100738 0.322393
-0.00387022 0.322393
0.00233338 0.644786
0.00853699 1.28957
0.0147406 0.805982
0.0209442 0.322393
0.0271478 0.967179
0.0333514 0.322393
0.039555 0.483589
0.0457586 0.805982
0.0519623 0.483589
0.0581659 0.161196
0.0643695 0.322393
0.0705731 0.483589
0.0767767 0.322393
0.0829803 0.161196
0.0891839 0.483589
0.0953875 0.483589
0.101591 0.644786
0.107795 0.322393
0.113998 0.322393
0.120202 0.805982
0.126406 0.483589
0.132609 0
0.138813 0.322393
0.145016 0.805982
0.15122 0.322393
0.157424 0.805982
0.163627 0.483589
0.169831 0.322393
0.176034 0.805982
0.182238 0
0.188442 0.805982
0.194645 0.322393
0.200849 0.967179
0.207052 0.161196
0.213256 0.322393
0.21946 0.161196
0.225663 0
0.231867 0.483589
0.238071 0.161196
0.244274 0.161196
0.250478 0.805982
0.256681 0.322393
0.262885 0.322393
0.269089 0.805982
0.275292 0.161196
0.281496 0.483589
0.287699 0.644786
0.293903 0.483589
0.300107 0.805982
0.30631 0.483589
0.312514 0.161196
0.318717 0.644786
0.324921 0.322393
0.331125 0.483589
0.337328 0.161196
0.343532 0.322393
0.349735 0.483589
0.355939 0.161196
0.362143 0.161196
0.368346 0.805982
0.37455 0.322393
0.380754 0.322393
0.386957 0.483589
0.393161 0
0.399364 0.322393
0.405568 0.483589
0.411772 0.161196
0.417975 0
0.424179 0.322393
0.430382 0
0.436586 0.483589
0.44279 0.322393
0.448993 0.644786
0.455197 0.483589
0.4614 0.644786
0.467604 0
0.473808 0.644786
0.480011 0.161196
0.486215 0.161196
0.492418 0.322393
0.498622 0
0.504826 0.161196
0.511029 0.483589
0.517233 0.161196
0.523437 0.322393
0.52964 0.483589
0.535844 0.322393
0.542047 0.322393
0.548251 0
0.554455 0.161196
0.560658 0.322393
0.566862 0.483589
0.573065 0.483589
0.579269 0.161196
0.585473 0.805982
0.591676 0.322393
0.59788 0.805982
0.604083 0.805982
0.610287 0.644786
0.616491 0.483589
0.622694 0.805982
0.628898 0.322393
0.635102 0.322393
0.641305 0
0.647509 0.644786
0.653712 0.161196
0.659916 0.322393
0.66612 0.161196
0.672323 0.161196
0.678527 0.161196
0.68473 0.805982
0.690934 0.161196
0.697138 0.483589
0.703341 0.644786
0.709545 0
0.715748 0.483589
0.721952 0
0.728156 0.322393
0.734359 0.161196
0.740563 0
0.746766 0.161196
0.75297 0.483589
0.759174 0.322393
0.765377 0.644786
0.771581 0.161196
0.777785 0.161196
0.783988 0
0.790192 0.322393
0.796395 0.161196
0.802599 0.644786
0.808803 0
0.815006 0.322393
0.82121 0.322393
0.827413 0
0.833617 0.644786
0.839821 0
0.846024 0.322393
0.852228 0.322393
0.858431 0.161196
0.864635 0.161196
0.870839 0.322393
0.877042 0.161196
0.883246 0.322393
0.889449 0
0.895653 0
0.901857 0.161196
0.90806 0.483589
0.914264 0.161196
0.920468 0.161196
0.926671 0.161196
0.932875 0
0.939078 0.161196
0.945282 0
0.951486 0.483589
0.957689 0.322393
0.963893 0.483589
0.970096 0.161196
0.9763 0
0.982504 0.483589
0.988707 0.161196
0.994911 0
1.00111 0.322393
1.00732 0.322393
1.01352 0.322393
1.01973 0.161196
1.02593 0.161196
1.03213 0.161196
1.03834 0.322393
1.04454 0.161196
1.05074 0.161196
1.05695 0
1.06315 0.483589
1.06935 0.322393
1.07556 0.161196
1.08176 0
1.08796 0.161196
1.09417 0
1.10037 0
1.10658 0
1.11278 0
1.11898 0.161196
1.12519 0.322393
1.13139 0.161196
1.13759 0
1.1438 0.161196
1.15 0
1.1562 0.322393
1.16241 0.322393
1.16861 0.161196
1.17482 0.483589
1.18102 0.322393
1.18722 0.161196
1.19343 0
1.19963 0
1.20583 0
1.21204 0.161196
1.21824 0.161196
1.22444 0
1.23065 0.161196
1.23685 0.322393
1.24306 0
1.24926 0.161196
1.25546 0.161196
1.26167 0.322393
1.26787 0.322393
1.27407 0.322393
1.28028 0.161196
1.28648 0
1.29268 0.322393
1.29889 0
1.30509 0.322393
1.31129 0
1.3175 0.322393
1.3237 0.322393
1.32991 0.161196
1.33611 0
1.34231 0.161196
1.34852 0.322393
1.35472 0.483589
1.36092 0.161196
1.36713 0.322393
1.37333 0.322393
1.37953 0.322393
1.38574 0.161196
1.39194 0
1.39815 0
1.40435 0.161196
1.41055 0.322393
1.41676 0.161196
1.42296 0
1.42916 0.322393
1.43537 0.322393
1.44157 0.161196
1.44777 0.161196
1.45398 0.483589
1.46018 0.161196
1.46639 0
1.47259 0
1.47879 0
1.485 0.161196
1.4912 0
1.4974 0
1.50361 0
1.50981 0.161196
1.51601 0
1.52222 0.161196
1.52842 0
1.53462 0
1.54083 0.161196
1.54703 0
1.55324 0
1.55944 0.161196
1.56564 0.161196
1.57185 0.322393
1.57805 0
1.58425 0
1.59046 0.161196
1.59666 0
1.60286 0.161196
1.60907 0
1.61527 0
1.62148 0
1.62768 0
1.63388 0
1.64009 0.483589
1.64629 0.161196
1.65249 0
1.6587 0
1.6649 0.161196
1.6711 0.161196
1.67731 0.161196
1.68351 0
1.68972 0
1.69592 0
1.70212 0
1.70833 0.161196
1.71453 0.322393
1.72073 0.161196
1.72694 0
1.73314 0
1.73934 0.161196
1.74555 0.161196
1.75175 0
1.75795 0
1.76416 0
1.77036 0
1.77657 0
1.78277 0.161196
1.78897 0.161196
1.79518 0.322393
1.80138 0
1.80758 0.161196
1.81379 0
1.81999 0.161196
1.82619 0
1.8324 0.161196
1.8386 0
1.84481 0
1.85101 0.161196
1.85721 0
1.86342 0.161196
1.86962 0.161196
1.87582 0
1.88203 0.322393
1.88823 0.161196
1.89443 0
1.90064 0.161196
1.90684 0
1.91304 0.161196
1.91925 0
1.92545 0.161196
1.93166 0
1.93786 0.161196
1.94406 0
1.95027 0
1.95647 0
1.96267 0
1.96888 0
1.97508 0
1.98128 0
1.98749 0.161196
1.99369 0
1.9999 0
2.0061 0
2.0123 0.161196
2.01851 0.322393
2.02471 0.322393
2.03091 0
2.03712 0
2.04332 0
2.04952 0.161196
2.05573 0
2.06193 0
2.06814 0
2.07434 0
2.08054 0
2.08675 0
2.09295 0
2.09915 0
2.10536 0
2.11156 0
2.11776 0
2.12397 0
2.13017 0.161196
2.13637 0.161196
2.14258 0
2.14878 0.161196
2.15499 0.161196
2.16119 0.322393
2.16739 0
2.1736 0
2.1798 0
2.186 0
2.19221 0
2.19841 0
2.20461 0
2.21082 0
2.21702 0
2.22323 0
2.22943 0
2.23563 0
2.24184 0
2.24804 0
2.25424 0
2.26045 0
2.26665 0
2.27285 0
2.27906 0
2.28526 0
2.29147 0.161196
2.29767 0
2.30387 0
2.31008 0
2.31628 0
2.32248 0
2.32869 0
2.33489 0
2.34109 0
2.3473 0.161196
2.3535 0
2.3597 0.161196
2.36591 0
2.37211 0
2.37832 0
2.38452 0
2.39072 0
2.39693 0
2.40313 0
2.40933 0
2.41554 0
2.42174 0
2.42794 0
2.43415 0
2.44035 0
2.44656 0
2.45276 0
2.45896 0
2.46517 0
2.47137 0
2.47757 0
2.48378 0.161196
2.48998 0
2.49618 0
2.50239 0
2.50859 0
2.5148 0
2.521 0
2.5272 0
2.53341 0
2.53961 0
2.54581 0
2.55202 0
2.55822 0
2.56442 0
2.57063 0
2.57683 0
2.58303 0
2.58924 0
2.59544 0
2.60165 0
2.60785 0
2.61405 0
2.62026 0
2.62646 0
2.63266 0.161196
2.63887 0
2.64507 0
2.65127 0
2.65748 0
2.66368 0
2.66989 0
2.67609 0
2.68229 0
2.6885 0
2.6947 0
2.7009 0
2.70711 0
2.71331 0
2.71951 0
2.72572 0
2.73192 0
2.73812 0
2.74433 0
2.75053 0
2.75674 0
2.76294 0
2.76914 0
2.77535 0
2.78155 0
2.78775 0
2.79396 0
2.80016 0
2.80636 0
2.81257 0
2.81877 0
2.82498 0
2.83118 0
2.83738 0
2.84359 0
2.84979 0
2.85599 0
2.8622 0
2.8684 0
2.8746 0
2.88081 0
2.88701 0
2.89322 0
2.89942 0
2.90562 0
2.91183 0
2.91803 0
2.92423 0
2.93044 0
2.93664 0
